year,month,cpi
1924,5,17
1924,6,17
1924,7,17.1
1924,8,17
1924,9,17.1
1924,10,17.2
1924,11,17.2
1924,12,17.3
1925,1,17.3
1925,2,17.2
1925,3,17.3
1925,4,17.2
1925,5,17.3
1925,6,17.5
1925,7,17.7
1925,8,17.7
1925,9,17.7
1925,10,17.7
1925,11,18
1925,12,17.9
1926,1,17.9
1926,2,17.9
1926,3,17.8
1926,4,17.9
1926,5,17.8
1926,6,17.7
1926,7,17.5
1926,8,17.4
1926,9,17.5
1926,10,17.6
1926,11,17.7
1926,12,17.7
1927,1,17.5
1927,2,17.4
1927,3,17.3
1927,4,17.3
1927,5,17.4
1927,6,17.6
1927,7,17.3
1927,8,17.2
1927,9,17.3
1927,10,17.4
1927,11,17.3
1927,12,17.3
1928,1,17.3
1928,2,17.1
1928,3,17.1
1928,4,17.1
1928,5,17.2
1928,6,17.1
1928,7,17.1
1928,8,17.1
1928,9,17.3
1928,10,17.2
1928,11,17.2
1928,12,17.1
1929,1,17.1
1929,2,17.1
1929,3,17
1929,4,16.9
1929,5,17
1929,6,17.1
1929,7,17.3
1929,8,17.3
1929,9,17.3
1929,10,17.3
1929,11,17.3
1929,12,17.2
1930,1,17.1
1930,2,17
1930,3,16.9
1930,4,17
1930,5,16.9
1930,6,16.8
1930,7,16.6
1930,8,16.5
1930,9,16.6
1930,10,16.5
1930,11,16.4
1930,12,16.1
1931,1,15.9
1931,2,15.7
1931,3,15.6
1931,4,15.5
1931,5,15.3
1931,6,15.1
1931,7,15.1
1931,8,15.1
1931,9,15
1931,10,14.9
1931,11,14.7
1931,12,14.6
1932,1,14.3
1932,2,14.1
1932,3,14
1932,4,13.9
1932,5,13.7
1932,6,13.6
1932,7,13.6
1932,8,13.5
1932,9,13.4
1932,10,13.3
1932,11,13.2
1932,12,13.1
1933,1,12.9
1933,2,12.7
1933,3,12.6
1933,4,12.6
1933,5,12.6
1933,6,12.7
1933,7,13.1
1933,8,13.2
1933,9,13.2
1933,10,13.2
1933,11,13.2
1933,12,13.2
1934,1,13.2
1934,2,13.3
1934,3,13.3
1934,4,13.3
1934,5,13.3
1934,6,13.4
1934,7,13.4
1934,8,13.4
1934,9,13.6
1934,10,13.5
1934,11,13.5
1934,12,13.4
1935,1,13.6
1935,2,13.7
1935,3,13.7
1935,4,13.8
1935,5,13.8
1935,6,13.7
1935,7,13.7
1935,8,13.7
1935,9,13.7
1935,10,13.7
1935,11,13.8
1935,12,13.8
1936,1,13.8
1936,2,13.8
1936,3,13.7
1936,4,13.7
1936,5,13.7
1936,6,13.8
1936,7,13.9
1936,8,14
1936,9,14
1936,10,14
1936,11,14
1936,12,14
1937,1,14.1
1937,2,14.1
1937,3,14.2
1937,4,14.3
1937,5,14.4
1937,6,14.4
1937,7,14.5
1937,8,14.5
1937,9,14.6
1937,10,14.6
1937,11,14.5
1937,12,14.4
1938,1,14.2
1938,2,14.1
1938,3,14.1
1938,4,14.2
1938,5,14.1
1938,6,14.1
1938,7,14.1
1938,8,14.1
1938,9,14.1
1938,10,14
1938,11,14
1938,12,14
1939,1,14
1939,2,13.9
1939,3,13.9
1939,4,13.8
1939,5,13.8
1939,6,13.8
1939,7,13.8
1939,8,13.8
1939,9,14.1
1939,10,14
1939,11,14
1939,12,14
1940,1,13.9
1940,2,14
1940,3,14
1940,4,14
1940,5,14
1940,6,14.1
1940,7,14
1940,8,14
1940,9,14
1940,10,14
1940,11,14
1940,12,14.1
1941,1,14.1
1941,2,14.1
1941,3,14.2
1941,4,14.3
1941,5,14.4
1941,6,14.7
1941,7,14.7
1941,8,14.9
1941,9,15.1
1941,10,15.3
1941,11,15.4
1941,12,15.5
1942,1,15.7
1942,2,15.8
1942,3,16
1942,4,16.1
1942,5,16.3
1942,6,16.3
1942,7,16.4
1942,8,16.5
1942,9,16.5
1942,10,16.7
1942,11,16.8
1942,12,16.9
1943,1,16.9
1943,2,16.9
1943,3,17.2
1943,4,17.4
1943,5,17.5
1943,6,17.5
1943,7,17.4
1943,8,17.3
1943,9,17.4
1943,10,17.4
1943,11,17.4
1943,12,17.4
1944,1,17.4
1944,2,17.4
1944,3,17.4
1944,4,17.5
1944,5,17.5
1944,6,17.6
1944,7,17.7
1944,8,17.7
1944,9,17.7
1944,10,17.7
1944,11,17.7
1944,12,17.8
1945,1,17.8
1945,2,17.8
1945,3,17.8
1945,4,17.8
1945,5,17.9
1945,6,18.1
1945,7,18.1
1945,8,18.1
1945,9,18.1
1945,10,18.1
1945,11,18.1
1945,12,18.2
1946,1,18.2
1946,2,18.1
1946,3,18.3
1946,4,18.4
1946,5,18.5
1946,6,18.7
1946,7,19.8
1946,8,20.2
1946,9,20.4
1946,10,20.8
1946,11,21.3
1946,12,21.5
1947,1,21.5
1947,2,21.5
1947,3,21.9
1947,4,21.9
1947,5,21.9
1947,6,22
1947,7,22.2
1947,8,22.5
1947,9,23
1947,10,23
1947,11,23.1
1947,12,23.4
1948,1,23.7
1948,2,23.5
1948,3,23.4
1948,4,23.8
1948,5,23.9
1948,6,24.1
1948,7,24.4
1948,8,24.5
1948,9,24.5
1948,10,24.4
1948,11,24.2
1948,12,24.1
1949,1,24
1949,2,23.8
1949,3,23.8
1949,4,23.9
1949,5,23.8
1949,6,23.9
1949,7,23.7
1949,8,23.8
1949,9,23.9
1949,10,23.7
1949,11,23.8
1949,12,23.6
1950,1,23.5
1950,2,23.5
1950,3,23.6
1950,4,23.6
1950,5,23.7
1950,6,23.8
1950,7,24.1
1950,8,24.3
1950,9,24.4
1950,10,24.6
1950,11,24.7
1950,12,25
1951,1,25.4
1951,2,25.7
1951,3,25.8
1951,4,25.8
1951,5,25.9
1951,6,25.9
1951,7,25.9
1951,8,25.9
1951,9,26.1
1951,10,26.2
1951,11,26.4
1951,12,26.5
1952,1,26.5
1952,2,26.3
1952,3,26.3
1952,4,26.4
1952,5,26.4
1952,6,26.5
1952,7,26.7
1952,8,26.7
1952,9,26.7
1952,10,26.7
1952,11,26.7
1952,12,26.7
1953,1,26.6
1953,2,26.5
1953,3,26.6
1953,4,26.6
1953,5,26.7
1953,6,26.8
1953,7,26.8
1953,8,26.9
1953,9,26.9
1953,10,27
1953,11,26.9
1953,12,26.9
1954,1,26.9
1954,2,26.9
1954,3,26.9
1954,4,26.8
1954,5,26.9
1954,6,26.9
1954,7,26.9
1954,8,26.9
1954,9,26.8
1954,10,26.8
1954,11,26.8
1954,12,26.7
1955,1,26.7
1955,2,26.7
1955,3,26.7
1955,4,26.7
1955,5,26.7
1955,6,26.7
1955,7,26.8
1955,8,26.8
1955,9,26.9
1955,10,26.9
1955,11,26.9
1955,12,26.8
1956,1,26.8
1956,2,26.8
1956,3,26.8
1956,4,26.9
1956,5,27
1956,6,27.2
1956,7,27.4
1956,8,27.3
1956,9,27.4
1956,10,27.5
1956,11,27.5
1956,12,27.6
1957,1,27.6
1957,2,27.7
1957,3,27.8
1957,4,27.9
1957,5,28
1957,6,28.1
1957,7,28.3
1957,8,28.3
1957,9,28.3
1957,10,28.3
1957,11,28.4
1957,12,28.4
1958,1,28.6
1958,2,28.6
1958,3,28.8
1958,4,28.9
1958,5,28.9
1958,6,28.9
1958,7,29
1958,8,28.9
1958,9,28.9
1958,10,28.9
1958,11,29
1958,12,28.9
1959,1,29
1959,2,28.9
1959,3,28.9
1959,4,29
1959,5,29
1959,6,29.1
1959,7,29.2
1959,8,29.2
1959,9,29.3
1959,10,29.4
1959,11,29.4
1959,12,29.4
1960,1,29.3
1960,2,29.4
1960,3,29.4
1960,4,29.5
1960,5,29.5
1960,6,29.6
1960,7,29.6
1960,8,29.6
1960,9,29.6
1960,10,29.8
1960,11,29.8
1960,12,29.8
1961,1,29.8
1961,2,29.8
1961,3,29.8
1961,4,29.8
1961,5,29.8
1961,6,29.8
1961,7,30
1961,8,29.9
1961,9,30
1961,10,30
1961,11,30
1961,12,30
1962,1,30
1962,2,30.1
1962,3,30.1
1962,4,30.2
1962,5,30.2
1962,6,30.2
1962,7,30.3
1962,8,30.3
1962,9,30.4
1962,10,30.4
1962,11,30.4
1962,12,30.4
1963,1,30.4
1963,2,30.4
1963,3,30.5
1963,4,30.5
1963,5,30.5
1963,6,30.6
1963,7,30.7
1963,8,30.7
1963,9,30.7
1963,10,30.8
1963,11,30.8
1963,12,30.9
1964,1,30.9
1964,2,30.9
1964,3,30.9
1964,4,30.9
1964,5,30.9
1964,6,31
1964,7,31.1
1964,8,31
1964,9,31.1
1964,10,31.1
1964,11,31.2
1964,12,31.2
1965,1,31.2
1965,2,31.2
1965,3,31.3
1965,4,31.4
1965,5,31.4
1965,6,31.6
1965,7,31.6
1965,8,31.6
1965,9,31.6
1965,10,31.7
1965,11,31.7
1965,12,31.8
1966,1,31.8
1966,2,32
1966,3,32.1
1966,4,32.3
1966,5,32.3
1966,6,32.4
1966,7,32.5
1966,8,32.7
1966,9,32.7
1966,10,32.9
1966,11,32.9
1966,12,32.9
1967,1,32.9
1967,2,32.9
1967,3,33
1967,4,33.1
1967,5,33.2
1967,6,33.3
1967,7,33.4
1967,8,33.5
1967,9,33.6
1967,10,33.7
1967,11,33.8
1967,12,33.9
1968,1,34.1
1968,2,34.2
1968,3,34.3
1968,4,34.4
1968,5,34.5
1968,6,34.7
1968,7,34.9
1968,8,35
1968,9,35.1
1968,10,35.3
1968,11,35.4
1968,12,35.5
1969,1,35.6
1969,2,35.8
1969,3,36.1
1969,4,36.3
1969,5,36.4
1969,6,36.6
1969,7,36.8
1969,8,37
1969,9,37.1
1969,10,37.3
1969,11,37.5
1969,12,37.7
1970,1,37.8
1970,2,38
1970,3,38.2
1970,4,38.5
1970,5,38.6
1970,6,38.8
1970,7,39
1970,8,39
1970,9,39.2
1970,10,39.4
1970,11,39.6
1970,12,39.8
1971,1,39.8
1971,2,39.9
1971,3,40
1971,4,40.1
1971,5,40.3
1971,6,40.6
1971,7,40.7
1971,8,40.8
1971,9,40.8
1971,10,40.9
1971,11,40.9
1971,12,41.1
1972,1,41.1
1972,2,41.3
1972,3,41.4
1972,4,41.5
1972,5,41.6
1972,6,41.7
1972,7,41.9
1972,8,42
1972,9,42.1
1972,10,42.3
1972,11,42.4
1972,12,42.5
1973,1,42.6
1973,2,42.9
1973,3,43.3
1973,4,43.6
1973,5,43.9
1973,6,44.2
1973,7,44.3
1973,8,45.1
1973,9,45.2
1973,10,45.6
1973,11,45.9
1973,12,46.2
1974,1,46.6
1974,2,47.2
1974,3,47.8
1974,4,48
1974,5,48.6
1974,6,49
1974,7,49.4
1974,8,50
1974,9,50.6
1974,10,51.1
1974,11,51.5
1974,12,51.9
1975,1,52.1
1975,2,52.5
1975,3,52.7
1975,4,52.9
1975,5,53.2
1975,6,53.6
1975,7,54.2
1975,8,54.3
1975,9,54.6
1975,10,54.9
1975,11,55.3
1975,12,55.5
1976,1,55.6
1976,2,55.8
1976,3,55.9
1976,4,56.1
1976,5,56.5
1976,6,56.8
1976,7,57.1
1976,8,57.4
1976,9,57.6
1976,10,57.9
1976,11,58
1976,12,58.2
1977,1,58.5
1977,2,59.1
1977,3,59.5
1977,4,60
1977,5,60.3
1977,6,60.7
1977,7,61
1977,8,61.2
1977,9,61.4
1977,10,61.6
1977,11,61.9
1977,12,62.1
1978,1,62.5
1978,2,62.9
1978,3,63.4
1978,4,63.9
1978,5,64.5
1978,6,65.2
1978,7,65.7
1978,8,66
1978,9,66.5
1978,10,67.1
1978,11,67.4
1978,12,67.7
1979,1,68.3
1979,2,69.1
1979,3,69.8
1979,4,70.6
1979,5,71.5
1979,6,72.3
1979,7,73.1
1979,8,73.8
1979,9,74.6
1979,10,75.2
1979,11,75.9
1979,12,76.7
1980,1,77.8
1980,2,78.9
1980,3,80.1
1980,4,81
1980,5,81.8
1980,6,82.7
1980,7,82.7
1980,8,83.3
1980,9,84
1980,10,84.8
1980,11,85.5
1980,12,86.3
1981,1,87
1981,2,87.9
1981,3,88.5
1981,4,89.1
1981,5,89.8
1981,6,90.6
1981,7,91.6
1981,8,92.3
1981,9,93.2
1981,10,93.4
1981,11,93.7
1981,12,94
1982,1,94.3
1982,2,94.6
1982,3,94.5
1982,4,94.9
1982,5,95.8
1982,6,97
1982,7,97.5
1982,8,97.7
1982,9,97.9
1982,10,98.2
1982,11,98
1982,12,97.6
1983,1,97.8
1983,2,97.9
1983,3,97.9
1983,4,98.6
1983,5,99.2
1983,6,99.5
1983,7,99.9
1983,8,100.2
1983,9,100.7
1983,10,101
1983,11,101.2
1983,12,101.3
1984,1,101.9
1984,2,102.4
1984,3,102.6
1984,4,103.1
1984,5,103.4
1984,6,103.7
1984,7,104.1
1984,8,104.5
1984,9,105
1984,10,105.3
1984,11,105.3
1984,12,105.3
1984,1,102.9
1984,2,104.9
1985,1,105.5
1985,2,106
1985,3,106.4
1985,4,106.9
1985,5,107.3
1985,6,107.6
1985,7,107.8
1985,8,108
1985,9,108.3
1985,10,108.7
1985,11,109
1985,12,109.3
1985,1,106.6
1985,2,108.5
1986,1,109.6
1986,2,109.3
1986,3,108.8
1986,4,108.6
1986,5,108.9
1986,6,109.5
1986,7,109.5
1986,8,109.7
1986,9,110.2
1986,10,110.3
1986,11,110.4
1986,12,110.5
1986,1,109.1
1986,2,110.1
1987,1,111.2
1987,2,111.6
1987,3,112.1
1987,4,112.7
1987,5,113.1
1987,6,113.5
1987,7,113.8
1987,8,114.4
1987,9,115
1987,10,115.3
1987,11,115.4
1987,12,115.4
1987,1,112.4
1987,2,114.9
1988,1,115.7
1988,2,116
1988,3,116.5
1988,4,117.1
1988,5,117.5
1988,6,118
1988,7,118.5
1988,8,119
1988,9,119.8
1988,10,120.2
1988,11,120.3
1988,12,120.5
1988,1,116.8
1988,2,119.7
1989,1,121.1
1989,2,121.6
1989,3,122.3
1989,4,123.1
1989,5,123.8
1989,6,124.1
1989,7,124.4
1989,8,124.6
1989,9,125
1989,10,125.6
1989,11,125.9
1989,12,126.1
1989,1,122.7
1989,2,125.3
1990,1,127.4
1990,2,128
1990,3,128.7
1990,4,128.9
1990,5,129.2
1990,6,129.9
1990,7,130.4
1990,8,131.6
1990,9,132.7
1990,10,133.5
1990,11,133.8
1990,12,133.8
1990,1,128.7
1990,2,132.6
1991,1,134.6
1991,2,134.8
1991,3,135
1991,4,135.2
1991,5,135.6
1991,6,136
1991,7,136.2
1991,8,136.6
1991,9,137.2
1991,10,137.4
1991,11,137.8
1991,12,137.9
1991,1,135.2
1991,2,137.2
1992,1,138.1
1992,2,138.6
1992,3,139.3
1992,4,139.5
1992,5,139.7
1992,6,140.2
1992,7,140.5
1992,8,140.9
1992,9,141.3
1992,10,141.8
1992,11,142
1992,12,141.9
1992,1,139.2
1992,2,141.4
1993,1,142.6
1993,2,143.1
1993,3,143.6
1993,4,144
1993,5,144.2
1993,6,144.4
1993,7,144.4
1993,8,144.8
1993,9,145.1
1993,10,145.7
1993,11,145.8
1993,12,145.8
1993,1,143.7
1993,2,145.3
1994,1,146.2
1994,2,146.7
1994,3,147.2
1994,4,147.4
1994,5,147.5
1994,6,148
1994,7,148.4
1994,8,149
1994,9,149.4
1994,10,149.5
1994,11,149.7
1994,12,149.7
1994,1,147.2
1994,2,149.3
1995,1,150.3
1995,2,150.9
1995,3,151.4
1995,4,151.9
1995,5,152.2
1995,6,152.5
1995,7,152.5
1995,8,152.9
1995,9,153.2
1995,10,153.7
1995,11,153.6
1995,12,153.5
1995,1,151.5
1995,2,153.2
1996,1,154.4
1996,2,154.9
1996,3,155.7
1996,4,156.3
1996,5,156.6
1996,6,156.7
1996,7,157
1996,8,157.3
1996,9,157.8
1996,10,158.3
1996,11,158.6
1996,12,158.6
1996,1,155.8
1996,2,157.9
1997,1,159.1
1997,2,159.6
1997,3,160
1997,4,160.2
1997,5,160.1
1997,6,160.3
1997,7,160.5
1997,8,160.8
1997,9,161.2
1997,10,161.6
1997,11,161.5
1997,12,161.3
1997,1,159.9
1997,2,161.2
1998,1,161.6
1998,2,161.9
1998,3,162.2
1998,4,162.5
1998,5,162.8
1998,6,163
1998,7,163.2
1998,8,163.4
1998,9,163.6
1998,10,164
1998,11,164
1998,12,163.9
1998,1,162.3
1998,2,163.7
1999,1,164.3
1999,2,164.5
1999,3,165
1999,4,166.2
1999,5,166.2
1999,6,166.2
1999,7,166.7
1999,8,167.1
1999,9,167.9
1999,10,168.2
1999,11,168.3
1999,12,168.3
1999,1,165.4
1999,2,167.8
2000,1,168.8
2000,2,169.8
2000,3,171.2
2000,4,171.3
2000,5,171.5
2000,6,172.4
2000,7,172.8
2000,8,172.8
2000,9,173.7
2000,10,174
2000,11,174.1
2000,12,174
2000,1,170.8
2000,2,173.6
2001,1,175.1
2001,2,175.8
2001,3,176.2
2001,4,176.9
2001,5,177.7
2001,6,178
2001,7,177.5
2001,8,177.5
2001,9,178.3
2001,10,177.7
2001,11,177.4
2001,12,176.7
2001,1,176.6
2001,2,177.5
2002,1,177.1
2002,2,177.8
2002,3,178.8
2002,4,179.8
2002,5,179.8
2002,6,179.9
2002,7,180.1
2002,8,180.7
2002,9,181
2002,10,181.3
2002,11,181.3
2002,12,180.9
2002,1,178.9
2002,2,180.9
2003,1,181.7
2003,2,183.1
2003,3,184.2
2003,4,183.8
2003,5,183.5
2003,6,183.7
2003,7,183.9
2003,8,184.6
2003,9,185.2
2003,10,185
2003,11,184.5
2003,12,184.3
2003,1,183.3
2003,2,184.6
2004,1,185.2
2004,2,186.2
2004,3,187.4
2004,4,188
2004,5,189.1
2004,6,189.7
2004,7,189.4
2004,8,189.5
2004,9,189.9
2004,10,190.9
2004,11,191
2004,12,190.3
2004,1,187.6
2004,2,190.2
2005,1,190.7
2005,2,191.8
2005,3,193.3
2005,4,194.6
2005,5,194.4
2005,6,194.5
2005,7,195.4
2005,8,196.4
2005,9,198.8
2005,10,199.2
2005,11,197.6
2005,12,196.8
2005,1,193.2
2005,2,197.4
2006,1,198.3
2006,2,198.7
2006,3,199.8
2006,4,201.5
2006,5,202.5
2006,6,202.9
2006,7,203.5
2006,8,203.9
2006,9,202.9
2006,10,201.8
2006,11,201.5
2006,12,201.8
2006,1,200.6
2006,2,202.6
2007,1,202.416
2007,2,203.499
2007,3,205.352
2007,4,206.686
2007,5,207.949
2007,6,208.352
2007,7,208.299
2007,8,207.917
2007,9,208.49
2007,10,208.936
2007,11,210.177
2007,12,210.036
2007,1,205.709
2007,2,208.976
2008,1,211.08
2008,2,211.693
2008,3,213.528
2008,4,214.823
2008,5,216.632
2008,6,218.815
2008,7,219.964
2008,8,219.086
2008,9,218.783
2008,10,216.573
2008,11,212.425
2008,12,210.228
2008,1,214.429
2008,2,216.177
2009,1,211.143
2009,2,212.193
2009,3,212.709
2009,4,213.24
2009,5,213.856
2009,6,215.693
2009,7,215.351
2009,8,215.834
2009,9,215.969
2009,10,216.177
2009,11,216.33
2009,12,215.949
2009,1,213.139
2009,2,215.935
2010,1,216.687
2010,2,216.741
2010,3,217.631
2010,4,218.009
2010,5,218.178
2010,6,217.965
2010,7,218.011
2010,8,218.312
2010,9,218.439
2010,10,218.711
2010,11,218.803
2010,12,219.179
2010,1,217.535
2010,2,218.576
2011,1,220.223
2011,2,221.309
2011,3,223.467
2011,4,224.906
2011,5,225.964
2011,6,225.722
2011,7,225.922
2011,8,226.545
2011,9,226.889
2011,10,226.421
2011,11,226.23
2011,12,225.672
2011,1,223.598
2011,2,226.28
2012,1,226.665
2012,2,227.663
2012,3,229.392
2012,4,230.085
2012,5,229.815
2012,6,229.478
2012,7,229.104
2012,8,230.379
2012,9,231.407
2012,10,231.317
2012,11,230.221
2012,12,229.601
2012,1,228.85
2012,2,230.338
2013,1,230.28
2013,2,232.166
2013,3,232.773
2013,4,232.531
2013,5,232.945
2013,6,233.504
2013,7,233.596
2013,8,233.877
2013,9,234.149
2013,10,233.546
2013,11,233.069
2013,12,233.049
2013,1,232.366
2013,2,233.548
2014,1,233.916
2014,2,234.781
2014,3,236.293
2014,4,237.072
2014,5,237.9
2014,6,238.343
2014,7,238.25
2014,8,237.852
2014,9,238.031
2014,10,237.433
2014,11,236.151
2014,12,234.812
2014,1,236.384
2014,2,237.088
2015,1,233.707
2015,2,234.722
2015,3,236.119
2015,4,236.599
2015,5,237.805
2015,6,238.638
2015,7,238.654
2015,8,238.316
2015,9,237.945
2015,10,237.838
2015,11,237.336
2015,12,236.525
2015,1,236.265
2015,2,237.769
2016,1,236.916
2016,2,237.111
2016,3,238.132
2016,4,239.261
2016,5,240.229
2016,6,241.018
2016,7,240.628
2016,8,240.849
2016,9,241.428
2016,10,241.729
2016,11,241.353
2016,12,241.432
2016,1,238.778
2016,2,241.237
2017,1,242.839
2017,2,243.603
2017,3,243.801
